index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
4936;9111;6618871;-22.8766521181864;-43.2278751249952;SMS CF JAMIL HADDAD AP 53;RUA SOLDADO JOAO ROTELO;S/N;PACIENCIA;21)24103178/33541447;23066090.0;RJ;Rio de Janeiro;2016;5
5587;9718;6671020;-22.8766521181864;-43.2278751249952;SMS CF EDSON ABDALLA SAAD AP 53;AVENIDA CESARIO DE MELO;25;SANTA CRUZ;(21)33655365;23575070.0;RJ;Rio de Janeiro;2016;5
5621;9783;6808077;-22.903000000000002;-43.208;SMS CF ANTHIDIO DIAS DA SILVEIRA AP 32;AVENIDA DOM HELDER CAMARA;S/N;JACAREZINHO;(21) 2218-1462;20973011.0;RJ;Rio de Janeiro;2016;5
5706;9784;6635709;-22.8766521181864;-43.2278751249952;SMS CF JOSE DE PAULA LOPES PONTES AP 52;RUA JABURU;S/N;GUARATIBA;(21)23948008;23031190.0;RJ;Rio de Janeiro;2016;5
6567;10836;6762042;-22.8766521181864;-43.2278751249952;SMS CF EDNEY CANAZARO DE OLIVEIRA AP 32;AVENIDA MARECHAL RONDOM C RUA ANTUNES GARCIA;S/N;SAMPAIO;(21) 3283-6377;20950060.0;RJ;Rio de Janeiro;2016;5
6617;10890;7021771;-22.9191334684827;-43.673950731754296;SMS CF RAIMUNDO ALVES NASCIMENTO AP 33;RUA MARCOS DE MACEDO;S/N;GUADALUPE;21 31070882;21660020.0;RJ;Rio de Janeiro;2016;5
7003;11849;3416321;-22.903000000000002;-43.208;SMS CF ANTONIO GONCALVES DA SILVA AP 51;ESTRADA DO ENGENHO NOVO;S/N;REALENGO;(21)3467-9893;21730320.0;RJ;Rio de Janeiro;2016;5
7744;12518;2269929;-22.8766521181864;-43.2278751249952;SMS CMS CATTAPRETA AP 53;RUA ENGENHEIRO JOSE BOANERGES CESAR;S/N;SANTA CRUZ;(21)31581734;23565380.0;RJ;Rio de Janeiro;2016;5
8096;13323;2296543;-22.903000000000002;-43.208;SMS CMS JORGE SALDANHA BANDEIRA DE MELLO AP40;AVENIDA GEREMARIO DANTAS;135;JACAREPAGUA TANQUE;21 3392-0050;22735000.0;RJ;Rio de Janeiro;2016;5
8446;13648;6820018;-22.8766521181864;-43.2278751249952;SMS CF BARBARA STARFIELD AP 32;RUA VOLTA GRANDE;S/N;DEL CASTILHO;(21) 3217-1251;21051100.0;RJ;Rio de Janeiro;2016;5
8501;13802;6804209;-22.8766521181864;-43.2278751249952;SMS CF ASSIS VALENTE AP 31;EST DAS CANARIAS COM AV BRAS CRISPIN PRACA;S/N;GALEAO;(21) 98498-3173;21931582.0;RJ;Rio de Janeiro;2016;5
8737;14398;7722494;-22.90169;-43.20458;SMS CF FAIM PEDRO AP 51;RUA MARECHAL AGRICOLA;S/N;REALENGO;3462-8486;21735370.0;RJ;Rio de Janeiro;2016;5
9823;15969;5154197;-22.8766521181864;-43.2278751249952;SMS CF DAVID CAPISTRANO FILHO AP 52;AVENIDA CESARIO DE MELO;S/N;CAMPO GRANDE;(21)3384-1569;23045210.0;RJ;Rio de Janeiro;2016;5
9899;15962;6713564;-22.8766521181864;-43.2278751249952;SMS CF ANNA NERY AP 32;RUA ANA NERI COM RUA GENERAL BELFORD;S/N;ROCHA;(21) 3283-3225;20960082.0;RJ;Rio de Janeiro;2016;5
10067;15711;2273578;-22.903000000000002;-43.208;SMS CMS CESARIO DE MELLO AP 53;RUA 2;S/N;SANTA CRUZ;(21)33052049;23595040.0;RJ;Rio de Janeiro;2016;5
10415;16475;6742130;-22.8766521181864;-43.2278751249952;SMS CF EMYGDIO ALVES COSTA FILHO AP 32;RUA DO LAZER;153;PILARES;(21) 3283-3776;20760230.0;RJ;Rio de Janeiro;2016;5
10789;17076;6901042;-22.903000000000002;-43.208;SMS CF NILDO EYMAR DE ALMEIDA AGUIAR AP 51;ESTRADA GENERAL AMERICANO FREIRE;S/N;REALENGO;3464-9344;21720140.0;RJ;Rio de Janeiro;2016;5
10880;17079;7723296;-22.90169;-43.20458;SMS CF EVERTON DE SOUZA SANTOS AP 52;ESTRADA DE MORICABA;S/N;SENADOR VASCONCELOS;(21) 3364-7596;23012006.0;RJ;Rio de Janeiro;2016;5
11705;18087;7119798;-22.891347793067396;-43.3251428604126;SMS CF CARLOS NERY DA COSTA FILHO AP 33;RUA CLARIMUNDO DE MELO;847;QUINTINO;21 22691911;21311282.0;RJ;Rio de Janeiro;2016;5
11713;18090;6648371;-22.8766521181864;-43.2278751249952;SMS CF HANS JURGEN FERNANDO DOHMANN AP 52;ESTRADA DO PIAI;S/N;GUARATIBA;(21)24176014;23028050.0;RJ;Rio de Janeiro;2016;5
11779;18192;6023916;-22.8766521181864;-43.2278751249952;SMS CF FIORELLO RAYMUNDO AP 51;RUA ACAFRAO;S/N;BANGU;3468-8516;21870330.0;RJ;Rio de Janeiro;2016;5
13312;20325;2273586;-22.8766521181864;-43.2278751249952;SMS CMS EMYDIO CABRAL AP 53;RUA IEDA SANTOS DELGADO;03;PACIENCIA;(21)33145159;23587320.0;RJ;Rio de Janeiro;2016;5
15077;26145;7874162;-22.876651763916;-43.227874755859396;SMS CF WILSON MELLO SANTOS ZICO AP51;ESTRADA SARGENTO MIGUEL FILHO;S/N;VILA KENNEDY;2405-2099;21850007.0;RJ;Rio de Janeiro;2016;5
15268;26150;7810172;-22.877547699999997;-43.48133120000001;SMS CF SANDRA REGINA SAMPAIO DE SOUZA AP 51;AVENIDA SANTA CRUZ;S/N;SENADOR CAMARA;3839-9160;21830000.0;RJ;Rio de Janeiro;2016;5
16318;27891;3567540;-22.903000000000002;-43.208;SMS CF ANA GONZAGA AP 52;PRACA JOAO WESLEY;07;INHOAIBA;(21)24156520;23059540.0;RJ;Rio de Janeiro;2016;5
16544;27886;7723296;-22.90169;-43.20458;SMS CF EVERTON DE SOUZA SANTOS AP 52;ESTRADA DE MORICABA;S/N;SENADOR VASCONCELOS;(21) 3364-7596;23012006.0;RJ;Rio de Janeiro;2016;5
16947;28747;3796310;-22.8766521181864;-43.2278751249952;SMS CMS VILA CANOAS AP 21;ESTRADA DAS CANOAS;610;SAO CONRADO;(21) 3322-6302;22610210.0;RJ;Rio de Janeiro;2016;5
17038;28560;5315050;-22.903000000000002;-43.208;SMS CMS PORTUS E QUITANDA AP 33;RUA JORGE NOGUEIRA;S/N;COSTA BARROS;21 38356123;21520790.0;RJ;Rio de Janeiro;2016;5
17041;28564;2288370;-22.8766521181864;-43.2278751249952;SMS CMS PINDARO DE CARVALHO RODRIGUES AP 21;AV PADRE LEONEL FRANCA;S/N;GAVEA;(21) 2511-2619;22451000.0;RJ;Rio de Janeiro;2016;5
17102;28629;2270277;-22.903000000000002;-43.208;SMS CMS ALVIMAR DE CARVALHO AP 52;RUA SOLDADO ELISEU HIPOLITO;S/N;PEDRA DE GUARATIBA;(21)3404-7799;23025110.0;RJ;Rio de Janeiro;2016;5
17105;28536;2280779;-22.903000000000002;-43.208;SMS CMS NECKER PINTO AP 31;ESTRADA RIO JEQUIA;428;ZUMBI;(21)33675199;21930007.0;RJ;Rio de Janeiro;2016;5
17136;28640;3785025;-22.8766521181864;-43.2278751249952;SMS CF RECANTO DO TROVADOR AP 22;RUA VISCONDE DE SANTA ISABEL;272;VILA ISABEL;2577-7097;20560120.0;RJ;Rio de Janeiro;2016;5
17163;28549;2708205;-22.903000000000002;-43.208;SMS CMS MARIO OLINTO DE OLIVEIRA AP 33;RUA FERRAZ;2;CASCADURA;21 32720011;21311060.0;RJ;Rio de Janeiro;2016;5
17233;28634;2280272;-22.903000000000002;-43.208;SMS CMS MARIA AUGUSTA ESTRELLA AP 22;RUA VISCONDE DE SANTA ISABEL;56;VILA ISABEL;31116100;20560121.0;RJ;Rio de Janeiro;2016;5
17244;28649;2270285;-22.903000000000002;-43.208;SMS CMS WOODROW PIMENTEL PANTOJA AP 52;ESTRADA DO MAGARCA;4435;GUARATIBA;(21)23948360;23031202.0;RJ;Rio de Janeiro;2016;5
17265;28745;7414226;-22.91441;-43.21305;SMS CMS HELIO PELLEGRINO AP 22;RUA DO MATOSO;96;PRACA DA BANDEIRA;25029546;20270133.0;RJ;Rio de Janeiro;2016;5
17972;29670;2270013;-22.903000000000002;-43.208;SMS CMS CECILIA DONNANGELO AP 40;ESTRADA DOS BANDEIRANTES;21136;VARGEM GRANDE;(21)33250300;22783551.0;RJ;Rio de Janeiro;2016;5
17989;29669;6272053;-22.8766521181864;-43.2278751249952;SMS CF SANTA MARTA AP 21;RUA SAO CLEMENTE;312;BOTAFOGO;22862374;22260150.0;RJ;Rio de Janeiro;2016;5
17990;29679;6922031;-22.903000000000002;-43.208;SMS CMS MANOEL GUILHERME DA SILVEIRA FILHO AP 51;AV RIBEIRO DANTAS;571;BANGU;34625386;21870170.0;RJ;Rio de Janeiro;2016;5
18054;29675;2269805;-22.903000000000002;-43.208;SMS CMS MILTON FONTES MAGARAO AP 32;AV AMARO CAVALCANTI;1387;ENGENHO DE DENTRO;3111-6707;20735041.0;RJ;Rio de Janeiro;2016;5
18138;29680;2296586;-22.903000000000002;-43.208;SMS CMS NASCIMENTO GURGEL AP 33;RUA MERCURIO;S/N;PAVUNA;21 24070430;21532290.0;RJ;Rio de Janeiro;2016;5
18146;29678;2280736;-22.903000000000002;-43.208;SMS CMS RENATO ROCCO AP 32;RUA AIRES DE CASAL;S/N;JACARE;(21) 3297-2521;20785090.0;RJ;Rio de Janeiro;2016;5
18168;29677;2269953;-22.921960000000002;-43.20969;SMS CMS SALLES NETTO AP 10;PRACA CONDESSA PAULO DE FRONTIN;52;RIO COMPRIDO;32510686;20261190.0;RJ;Rio de Janeiro;2016;5
18181;29676;6664075;-22.8766521181864;-43.2278751249952;SMS CF FELIPPE CARDOSO AP 31;AVENIDA NOSSA SENHORA DA PENHA;42;PENHA;(21)3977-7661;21070390.0;RJ;Rio de Janeiro;2016;5
18182;29673;2269902;-22.903000000000002;-43.208;SMS CMS JOSE BREVES DOS SANTOS AP 31;RUA MAR GRANDE;10;CORDOVIL;995485322;21010290.0;RJ;Rio de Janeiro;2016;5
18197;29674;6926797;-22.903000000000002;-43.208;SMS CMS RODOLPHO ROCCO AP 32;RUA LAGOA VERDE;S/N;DEL CASTILHO;(21) 3868-4243;21051360.0;RJ;Rio de Janeiro;2016;5
18232;29671;2708434;-22.8766521181864;-43.2278751249952;SMS CMS MANOEL JOSE FERREIRA AP 21;RUA SILVEIRA MARTINS;161;CATETE;(21) 2225-7505;22221000.0;RJ;Rio de Janeiro;2016;5
18276;29681;2273179;-22.903000000000002;-43.208;SMS CMS AUGUSTO DO AMARAL PEIXOTO AP 33;RUA JORNALISTA HERMANO REQUIAO;447;GUADALUPE;21 30151867;21670360.0;RJ;Rio de Janeiro;2016;5
18298;29716;6023975;-22.8766521181864;-43.2278751249952;SMS CF DONA ZICA AP 10;RUA JOAO RODRIGUES;43;SAO FRANCISCO XAVIER;2218-3351;20960010.0;RJ;Rio de Janeiro;2016;5
20590;32356;2280280;-22.9604;-43.2709;SMS CMS NICOLA ALBANO AP 22;RUA BOA VISTA;190;ALTO DA BOA VISTA;24848312;20531610.0;RJ;Rio de Janeiro;2016;5
20650;32285;5476607;-22.903000000000002;-43.208;SMS CF ADIB JATENE AP 31;AVENIDA BENTO RIBEIRO DANTAS;S/N;COMPLEXO DA MARE;021 99271-1880;21046175.0;RJ;Rio de Janeiro;2016;5
21368;33013;2277298;-22.903000000000002;-43.208;SMS CMS FERNANDO A BRAGA LOPES CAJU AP 10;RUA CARLOS SEIDL;785;CAJU;(21) 3890-4323;20931004.0;RJ;Rio de Janeiro;2016;5
23082;34557;2295032;-22.903000000000002;-43.208;SMS CMS MARIA CRISTINA ROMA PAUGARTTEN AP 31;RUA JOAQUIM GOMES;S/N;RAMOS;(21)38670569;21040060.0;RJ;Rio de Janeiro;2016;5
23731;35600;2269376;-22.903000000000002;-43.208;SMS CMS HEITOR BELTRAO AP 22;RUA DESEMBARGADOR ISIDRO;144;TIJUCA;22686642;20521160.0;RJ;Rio de Janeiro;2016;5
23929;35867;6664164;-22.903000000000002;-43.208;SMS CMS SAO GODOFREDO AP 31;RUA SAO GODOFREDO;45;PENHA;(021)39765038;21021230.0;RJ;Rio de Janeiro;2016;5
23935;35776;3784959;-22.8766521181864;-43.2278751249952;SMS CMS JOAO CANDIDO AP 31;AV LOBO JR;83;PENHA CIRCULAR;(02)12584-2083;21011065.0;RJ;Rio de Janeiro;2016;5
23965;35613;2296535;-22.903000000000002;-43.208;SMS CMS NAGIB JORGE FARAH AP 31;PRACA SOLDADO MICHEL CHEIB;S/N;JARDIM AMERICA;33577006;21240780.0;RJ;Rio de Janeiro;2016;5
23966;35814;5467136;-22.8766521181864;-43.2278751249952;SMS CMS PARQUE ROYAL AP 31;RUA JORNALISTA ALAIDE PIRES;25;PORTUGUESA ILHA DO;(21)3353-8448;21931615.0;RJ;Rio de Janeiro;2016;5
23967;35727;2778696;-22.8766521181864;-43.2278751249952;SMS CMS CARLOS FIGUEIREDO FILHO BOREL AP 22;RUA SAO MIGUEL;S/N;TIJUCA;25701688;20530420.0;RJ;Rio de Janeiro;2016;5
23990;35856;6514022;-22.8766521181864;-43.2278751249952;SMS CF VICTOR VALLA AP 31;AVENIDA DOM HELDER CAMARA;1390;MANGUINHOS;(21)25811063;20973011.0;RJ;Rio de Janeiro;2016;5
24070;35777;3784975;-22.8766521181864;-43.2278751249952;SMS CF ZILDA ARNS AP 31;ESTRADA ITARARE;951;COMPLEXO DO ALEMAO;(21)2290-5089;21061240.0;RJ;Rio de Janeiro;2016;5
24083;35800;5179726;-22.903000000000002;-43.208;SMS CF ALOYSIO AUGUSTO NOVIS AP 31;AVENIDA BRAS DE PINA;651;PENHA CIRCULAR;8440-4562;21070031.0;RJ;Rio de Janeiro;2016;5
24122;35603;2280795;-22.8766521181864;-43.2278751249952;SMS CMS JOAO BARROS BARRETO AP 21;RUA TENREIRO ARANHA;S/N;COPACABANA;(21) 3208-5295;22031090.0;RJ;Rio de Janeiro;2016;5
24209;35861;6568491;-22.8766521181864;-43.2278751249952;SMS CF MARIA SEBASTIANA DE OLIVEIRA AP 31;AVENIDA DOS MAGISTERIOS;S/N;ILHA DO GOVERNADOR;(21) 2462-4720;21920455.0;RJ;Rio de Janeiro;2016;5
24243;35601;2277328;-22.903000000000002;-43.208;SMS CMS OSWALDO CRUZ AP 10;AV HENRIQUE VALADARES;151;CENTRO;(21) 22248054;20231031.0;RJ;Rio de Janeiro;2016;5
24321;35833;6028233;-22.903000000000002;-43.208;SMS CF ESTACIO DE SA AP 10;RUA DO BISPO;159;RIO COMPRIDO;(21) 3259-1135;20261066.0;RJ;Rio de Janeiro;2016;5
27929;39810;2280760;-22.903000000000002;-43.208;SMS CMS MARIA APARECIDA DE ALMEIDA AP 53;PRACA ANTONIO MATTOS AREAS;S/N;PACIENCIA;(21)34840891;23585052.0;RJ;Rio de Janeiro;2016;5
27931;39800;2280310;-22.903000000000002;-43.208;SMS CF ERNANI DE PAIVA FERREIRA BRAGA AP 53;AVENIDA JOAO XXIII;S/N;SANTA CRUZ;(21)33953412;23560352.0;RJ;Rio de Janeiro;2016;5
27933;39733;2269546;-22.903000000000002;-43.208;SMS CMS DR OSWALDO VILELLA AP 52;RUA JOMAR MENDES;S/N;CAMPO GRANDE;(21)34072840;23095150.0;RJ;Rio de Janeiro;2016;5
27946;39812;2280787;-22.8766521181864;-43.2278751249952;SMS CMS NILZA ROSA AP 22;RUA CASTEL NUOVO;150;TIJUCA;22789002;20530120.0;RJ;Rio de Janeiro;2016;5
27953;39811;2280744;-22.903000000000002;-43.208;SMS CMS CARLOS GENTILLE DE MELLO AP 32;RUA BICUIBA;181;LINS DE VASCONCELOS;2088-1019;20715350.0;RJ;Rio de Janeiro;2016;5
27961;39799;2280205;-22.903000000000002;-43.208;SMS CMS RODOLPHO PERISSE VIDIGAL AP 21;AV PRESIDENTE JOAO GOULART;735;VIDIGAL;21-38744002;22450250.0;RJ;Rio de Janeiro;2016;5
27968;39729;2269309;-22.903000000000002;-43.208;SMS CMS CARLOS CRUZ LIMA AP 33;ESTRADA DO COLEGIO;983;COLEGIO;21 24733707;21235280.0;RJ;Rio de Janeiro;2016;5
27969;39744;2270307;-22.8766521181864;-43.2278751249952;SMS CMS MOURAO FILHO AP 52;ESTRADA DA BARRA DE GUARATIBA;9748;BARRA DE GUARATIBA;(21)34278562;23020240.0;RJ;Rio de Janeiro;2016;5
27971;39731;2269511;-22.903000000000002;-43.208;SMS CMS GARFIELD DE ALMEIDA AP 52;RUA GENERAL PAULO DE OLIVEIRA;226;CAMPO GRANDE;(21) 33940860;23017520.0;RJ;Rio de Janeiro;2016;5
27976;39753;2270633;-22.903000000000002;-43.208;SMS CMS MARIO VITOR DE A PACHECO AP 52;AVENIDA CESARIO DE MELO;5580;CAMPO GRANDE;(21) 3394 3842;23059001.0;RJ;Rio de Janeiro;2016;5
28036;39742;2270250;-22.903000000000002;-43.208;SMS CMS ERNESTO ZEFERINO TIBAU JR AP 10;AVENIDA DO EXERCITO;1;SAO CRISTOVAO;(21)38958658;20910025.0;RJ;Rio de Janeiro;2016;5
28037;39749;2270455;-22.8766521181864;-43.2278751249952;SMS CMS PADRE MIGUEL AP 51;RUA SANTO EVALDO;S/N;PADRE MIGUEL;(21)3335-0532;21875220.0;RJ;Rio de Janeiro;2016;5
28048;39730;2269503;-22.903000000000002;-43.208;SMS CMS EDUARDO A VILHENA AP 32;RUA JOSE DOS REIS;951;PILARES;(21) 3111-6693;20756115.0;RJ;Rio de Janeiro;2016;5
28061;39870;2291274;-22.903000000000002;-43.208;SMS CMS JOSE MESSIAS DO CARMO AP 10;RUA WALDEMAR DUTRA;55;SANTO CRISTO;21 22331690;20220780.0;RJ;Rio de Janeiro;2016;5
28065;39750;2270439;-22.903000000000002;-43.208;SMS CMS HENRIQUE MONAT AP 51;ESTRADA DO QUAFA;07;BANGU;3468-3421;21853050.0;RJ;Rio de Janeiro;2016;5
28098;39737;2269651;-22.903000000000002;-43.208;SMS CMS DOM HELDER CAMARA AP 21;RUA VOLUNTARIOS DA PATRIA;136;BOTAFOGO;(21) 2535-5090;22270010.0;RJ;Rio de Janeiro;2016;5
28100;39767;2273640;-22.8766521181864;-43.2278751249952;SMS CMS MADRE TERESA DE CALCUTA AP 31;AV ILHA DAS ENXADAS;100;BANCARIOS;(21)39754962;21910097.0;RJ;Rio de Janeiro;2016;5
28107;39739;2269759;-22.8766521181864;-43.2278751249952;SMS CMS FLAVIO DO COUTO VIEIRA AP 33;RUA LUCIO JOSE FILHO;S/N;PARQUE ANCHIETA;21 24557516;21635290.0;RJ;Rio de Janeiro;2016;5
28112;39728;2269295;-22.903000000000002;-43.208;SMS CMS CLEMENTINO FRAGA AP 33;RUA CAICARA;514;IRAJA;21 2482-7115;21361630.0;RJ;Rio de Janeiro;2016;5
28118;39743;2270293;-22.8766521181864;-43.2278751249952;SMS CMS RAUL BARROSO AP 52;AV ROBERTO BURLE MAX;S/N;GUARATIBA;(21)34273148;23020240.0;RJ;Rio de Janeiro;2016;5
28131;39745;2270315;-22.8766521181864;-43.2278751249952;SMS CMS MAIA BITTENCOURT AP 52;ESTRADA DO MATO ALTO;5609;GUARATIBA;(21)24108990;23030320.0;RJ;Rio de Janeiro;2016;5
28133;39740;2269937;-22.903000000000002;-43.208;SMS CMS ALBERTO BORGERTH AP 33;RUA PADRE MANSO;S/N;MADUREIRA;21 30182477;21310260.0;RJ;Rio de Janeiro;2016;5
28154;39752;2270560;-22.903000000000002;-43.208;SMS CMS MASAO GOTO AP 51;AV CARLOS PONTES;S/N;JARDIM SULACAP;(21)3357-7273;21741340.0;RJ;Rio de Janeiro;2016;5
28165;39751;2270463;-22.903000000000002;-43.208;SMS CMS ATHAYDE JOSE DA FONSECA AP 51;AV DEZENOVE DE ABRIL RUA ROQUE BARBOSA;S/N;JARDIM BANGU;3336-1964;21863420.0;RJ;Rio de Janeiro;2016;5
28184;39894;2295237;-22.8766521181864;-43.2278751249952;SMS CF JOAO BATISTA CHAGAS AP 53;RUA PITOMBEIRAS;S/N;PACIENCIA;(21)34067597;23585245.0;RJ;Rio de Janeiro;2016;5
28199;39732;2269538;-22.8766521181864;-43.2278751249952;SMS CMS EDGARD MAGALHAES GOMES AP 52;PRACA FILOMENA CARLOS MAGNO;0;INHOAIBA;(21)3377-2850;23063055.0;RJ;Rio de Janeiro;2016;5
28209;39910;2296551;-22.903000000000002;-43.208;SMS CMS AMERICO VELOSO AP 31;RUA GERSON FERREIRA;100;RAMOS;31045353 / 994874811;21030152.0;RJ;Rio de Janeiro;2016;5
28211;39734;2269554;-22.903000000000002;-43.208;SMS CMS BELIZARIO PENNA AP 52;RUA FRANKLIN;29;CAMPO GRANDE;(21)34079209;23080360.0;RJ;Rio de Janeiro;2016;5
28224;39765;2273551;-22.903000000000002;-43.208;SMS CMS ALOYSIO AMANCIO DA SILVA AP 53;ESTRADA DO CURTUME;S/N;SANTA CRUZ;(21)33054894;23575270.0;RJ;Rio de Janeiro;2016;5
28239;39736;2269627;-22.8766521181864;-43.2278751249952;SMS CMS SYLVIO FREDERICO BRAUNER AP 33;RUA DARWIN BRANDAO;S/N;COSTA BARROS;21 38358689;21515210.0;RJ;Rio de Janeiro;2016;5
28248;39735;2269562;-22.8766521181864;-43.2278751249952;SMS CMS MARIO RODRIGUES CID AP 52;RUA MATUREIA;S/N;COSMOS;(21)34024261;23060050.0;RJ;Rio de Janeiro;2016;5
28260;39738;2269732;-22.903000000000002;-43.208;SMS CMS CARMELA DUTRA AP 33;AV DOS ITALIANOS;480;ROCHA MIRANDA;21 30152879;21510103.0;RJ;Rio de Janeiro;2016;5
28262;39766;2273616;-22.8766521181864;-43.2278751249952;SMS CMS CYRO DE MELLO MANGUARIBA AP 53;AVENIDA DO CANAL;S/N;PACIENCIA;(21)24188065;23065630.0;RJ;Rio de Janeiro;2016;5
28268;39746;2270323;-22.8766521181864;-43.2278751249952;SMS CMS ADAO PEREIRA NUNES AP 52;RUA FLORESTAL;S/N;INHOAIBA;(21)24096691;23056060.0;RJ;Rio de Janeiro;2016;5
28277;39741;2270072;-22.8766521181864;-43.2278751249952;SMS CMS DR ALBERT SABIN AP 21;ESTRADA DA GAVEA;250;ROCINHA;(21) 3204-6088;22451264.0;RJ;Rio de Janeiro;2016;5
28291;39747;2270366;-22.903000000000002;-43.208;SMS CMS MANOEL DE ABREU AP 52;RUA PADRE NOE GUALBERTO;1;SANTISSIMO;(21)34030971;23093045.0;RJ;Rio de Janeiro;2016;5
28306;39748;2270420;-22.903000000000002;-43.208;SMS CMS WALDYR FRANCO AP 51;PRACA CECILIA PEDRO;60;BANGU;(21)3332-9322;21840600.0;RJ;Rio de Janeiro;2016;5
28314;39764;2273225;-22.903000000000002;-43.208;SMS CMS ARIADNE LOPES DE MENEZES AP 32;RUA ENG CARLOS GONCALVES PENNA;S/N;ENGENHO DA RAINHA;(21) 3111-6755;20761330.0;RJ;Rio de Janeiro;2016;5
28322;39754;2270641;-22.8766521181864;-43.2278751249952;SMS CMS PEDRO NAVA AP 52;RUA DO PERNAMBUCANO;S/N;CAMPO GRANDE;(21)31558419;23095090.0;RJ;Rio de Janeiro;2016;5
30744;42481;2708213;-22.903000000000002;-43.208;SMS CMS HARVEY RIBEIRO DE SOUZA FILHO AP 40;AVENIDA GUIOMAR NOVAES;133;RECREIO DOS BANDEIRA;(21)34182547;22790590.0;RJ;Rio de Janeiro;2016;5
30869;42483;2708426;-22.903000000000002;-43.208;SMS CMS ERNANI AGRICOLA AP 10;RUA CONSTANT JARDIM;08;SANTA TERESA;(21)22247194;20241160.0;RJ;Rio de Janeiro;2016;5
31010;42480;2708183;-22.8766521181864;-43.2278751249952;SMS CMS DECIO AMARAL FILHO AP 53;RUA CILON CUNHA BRUM;S/N;SANTA CRUZ;(21)31581434;23573400.0;RJ;Rio de Janeiro;2016;5
31077;42482;2708167;-22.903000000000002;-43.208;SMS CMS CESAR PERNETTA AP 32;RUA ANA BARBOSA;21;MEIER;3111-6715;20735120.0;RJ;Rio de Janeiro;2016;5
31797;43247;2806320;-22.8766521181864;-43.2278751249952;SMS CMS SAVIO ANTUNES ANTARES AP 53;AVENIDA HERMINIA AURELIO SAMPAIO;105;PACIENCIA;(21)33173185;23590012.0;RJ;Rio de Janeiro;2016;5
32020;43965;3567575;-22.903000000000002;-43.208;SMS CMS VILA SAO JORGE AP 52;RUA PROJETADA;02;COSMOS;(21)31551725;23059340.0;RJ;Rio de Janeiro;2016;5
32098;43963;3567559;-22.90353;-43.209579999999995;SMS CF VALDECIR SALUSTIANO CARDOZO AP 52;PRACA MANOEL MARIZ;S/N;COSMOS;(21)35238638;23059380.0;RJ;Rio de Janeiro;2016;5
32100;43964;3567567;-22.8766521181864;-43.2278751249952;SMS CF ALKINDAR SOARES PEREIRA FILHO AP 52;ESTRADA DA PEDRA;S/N;PEDRA DE GUARATIBA;(21)34018794;23012140.0;RJ;Rio de Janeiro;2016;5
32145;43962;3567508;-22.8766521181864;-43.2278751249952;SMS CMS RAPHAEL DE PAULA SOUZA AP 40;ESTRADA DE CURICICA;2000;CURICICA;(21)24080058;22780194.0;RJ;Rio de Janeiro;2016;5
