gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
1155;2013126;-3.5834956169127405;-59.1326022148115;UNIDADE BASICA DE SAUDE MARIA MENDONCA;RUA 03 DE MARCO;S/N;JAIR TUPINAMBA;;69240000.0;AM;Autazes;2016;5
1161;2311739;-1.55972599983211;-48.50624799728249;E S F ARAPARI;PORTO DO ARAPARI;S/N;LOCALIDADE DO ARAPAR;982858630;68445000.0;PA;Barcarena;2016;5
1058;2331152;-4.3111499085354605;-55.9585189819336;UNIDADE DE SAUDE DA FAMILIA SAO TOME;AV CARLETO BERMEGUY DECIMA QUARTA;S/N;SAO TOME;;68180400.0;PA;Itaituba;2016;5
1188;2469464;-5.6469792000000005;-48.1236211;CENTRO DE SAUDE SOCO ARAGUATINS;POVOADO ARAGUANOPOLIS;S/N;ZONA RURAL;(63)34741138;77950000.0;TO;Araguatins;2016;5
1020;2497530;-11.1732050162267;-61.9094386835297;CSD VILA CAMARGO;LINHA 2;S/N;ZONA RURAL;(69)34712016;76916000.0;RO;Presidente Médici;2016;5
1097;5882664;-3.0400049686431;-59.932887554167;UBS ENFERMEIRA JOSEPHINA DE MELLO;RUA PORTO MARISCO;232;JORGE TEIXEIRA;(92)36817213;69088754.0;AM;Manaus;2016;5
1149;7706;-1.29986286163326;-47.89562702178821;USF SAO JOAO 1 E 2;RUA FRANCISO PEREIRA DA SILVA;S/N;JADERLANDIA;;68745000.0;PA;Castanhal;2016;5
1158;2744465;2.8166819191043904;-60.670532672965;UNIDADE BASICA DE SAUDE ASA BRANCA;RUA FRANCISCO CUSTODIO DE ANDRADE;505;ASA BRANCA;(95)3626 1754;69312258.0;RR;Boa Vista;2016;5
1760;2013827;-3.1488;-58.43874;UNIDADE BASICA DE SAUDE NICOLAS EUTHEMES LEKAKIS NETO;RUA EDUAROD RIBEIRO;S/N;JAUARY;(92)35213889;69100084.0;AM;Itacoatiara;2016;5
1957;3916049;-8.870550539692939;-49.7193518572257;PSF I JOAO GONCALVES LEAL;AV NOSSA SENHORA SANTANA;11;CENTRO;(94) 3319 3109;68565000.0;PA;Santa Maria das Barreiras;2016;5
2268;3776603;-4.09906539;-54.905862259869004;USF ALVORADA;AV BRASIL TANCREDO NEVES;S/N;ALVORADA;(93) 3543-1328;68165000.0;PA;Rurópolis;2016;5
2328;2021196;-0.0530862808227524;-51.114106178282206;PMM U B S PEDRO BARROS MONTEIRO;PASSAGEM DONA MARCIA;445;DISTRITO DE FAZENDIN;;68903197.0;AP;Macapá;2016;5
2385;2677709;-2.0509779453277;-47.5559949874864;U S F JOEL NUNES DOS SANTOS;RUA BERNARDO PEREIRA DE OLIVEIRA;340;SAO SEBASTIAO;;68675000.0;PA;Mãe do Rio;2016;5
2303;6049354;-4.77893471717821;-48.06578636169289;UNIDADE DE SAUDE DA FAMILIA DO CENTRO;RUA CESAR BRASIL;000;CENTRO;9433261648;68638000.0;PA;Rondon do Pará;2016;5
2221;3679373;-1.29529;-47.92172;USF DE TITANLANDIA;RUA MANOEL ALVES PRADO;36;TITANLANDIA;;68745000.0;PA;Castanhal;2016;5
2175;7382324;-1.06327890171793;-46.764309642791794;UNIDADE DE SAUDE DA FAMILIA PADRE LUIZ;AV MARECHAL FLORIANO PEIXOTO;S/N;PADRE LUIZ;;68600000.0;PA;Bragança;2016;5
2667;2494191;-9.93427991867037;-63.027555942533596;CENTRO DE SAUDE SETOR 09 ARIQUEMES;RUA PARANAVAI;4726;SETOR 9;(69)35363102;76876336.0;RO;Ariquemes;2016;5
2435;5625378;-1.85773715459748;-65.580997467041;CENTRO DE SAUDE SAO JOAO;COM SAO JOAO DE IPECACU;S/N;ZONA RURAL;34007648;69490000.0;AM;Maraã;2016;5
2491;2314681;-1.21643543243405;-47.1807861328111;UNIDADE DE SAUDE DA FAMILIA ARNOLDO TAVARES;LOCALIDADE SAO JOSE;S/N;SAO JOSE;;68702180.0;PA;Capanema;2016;5
2775;3944182;-11.4459085464474;-61.450545787809496;UNIDADE DE SAUDE DA FAMILIA EDMUR JOSE MARCHIOLI;RUA TRAVESSA 1 DE MAIO N;1161;LIBERDADE;069-3907-4297;76967437.0;RO;Cacoal;2016;5
2679;6563244;-1.3367143999999997;-48.4049017;UBS ICUI;CONJUNTO TAURI QD 23;53;ICUI GUAJARA;;67125000.0;PA;Ananindeua;2016;5
2613;2001225;-10.6476509571072;-68.5066652297954;UNIDADE DE SAUDE DA FAMILIA JOSE FRANCISCO SILVA;RUA DA CERAMICA;S/N;SIBERIA;;69930000.0;AC;Xapuri;2016;5
2407;6814581;2.16625928878778;-61.0512828826887;UNIDADE BASICA DE SAUDE FRANCISCO DA SILVA;RUA JANIO QUADROS;S/N;CENTRO;;69348000.0;RR;Iracema;2016;5
2715;3901009;-8.16069602966285;-70.7709646224955;UNIDADE DE SAUDE DA FAMILIA 24 DE ABRIL;RUA EPITACIO PESSOA;S/N;IPEPACONHA;6834621952;69970000.0;AC;Tarauacá;2016;5
2561;2676370;-0.763571262359597;-47.364227771757704;USF SAO BENTO;VILA DO SAO BENTO;S/N;CENTRO;;68721000.0;PA;Salinópolis;2016;5
2453;2021293;0.5419366;-50.7282479;PM ITA UBS DE ITAUBAL;RUA JOAO PALMA DOS REIS;01;CENTRO;33241229;68976000.0;AP;Itaubal;2016;5
2535;2328569;-1.36871356826945;-48.372066654167995;UNIDADE BASICA DE SAUDE CURUCAMBA;ESTRADA PRINCIPAL DO CURUCAMBA;01;CURUCAMBA;;67130040.0;PA;Ananindeua;2016;5
2555;3042553;-11.013675928115498;-68.74793529510299;ESF JOSE MARIA DE SOUZA SANTOS;AV GENY ASSIS;501;CENTRO;06835463041;69932000.0;AC;Brasiléia;2016;5
2423;2468565;-10.708569917;-48.4121534584309;UNIDADE DE SAUDE MAE EUGENIA PORTO NACIONAL;AV ALICE AIRES DE SOUZA;S/N;JD BRASILIA;(63)3632649;77500000.0;TO;Porto Nacional;2016;5
2483;2469561;-6.1939896602357605;-47.856828041414005;UNIDADE BASICA DE SAUDE VICENTE DE PAULA LUZINOPOLIS;RUA NORBERTO COSTA;S/N;CENTRO;(63)3491-1187;77903000.0;TO;Luzinópolis;2016;5
2653;2614383;-5.913176536559889;-50.227453708647204;POSTO DE SAUDE DA VILINHA;ESTRADA PAULO FONTELES;S/N;RURAL;;68515000.0;PA;Parauapebas;2016;5
2780;7399928;-7.55786592633358;-49.717254638671896;ESTRATEGIA DE SAUDE DA FAMILIA VILA MENDONCA;LOTE 01 QUADRA 14 SETOR 01 VILA MENDONCA;S/N;MEIO RURAL;9434321621;68543000.0;PA;Floresta do Araguaia;2016;5
2781;7533853;-2.47441726862317;-54.7184123353958;UNIDADE BASICA DE SAUDE VITORIA REGIA;TRAVESSA JADER BARBALHO COM 13 DE MAIO;S/N;VITORIA REGIA;21010100;68041020.0;PA;Santarém;2016;5
2534;2497484;-10.775839090346999;-65.3385043144207;CENTRO DE SAUDE CARLOS CHAGAS GUAJARA MIRIM;AV 12 DE JULHO;1423;TAMANDARE;(69)5413639;76850000.0;RO;Guajará-Mirim;2016;5
29277;2370360;-6.32563437602796;-47.4274129286927;UNIDADE BASICA DE SAUDE MUCIO BARBOSA TOCANTINOPOLIS;RUA BELA VISTA;S/N;ALTO DA BOA VISTA;(63)34712203;77900000.0;TO;Tocantinópolis;2016;5
2772;7231865;-4.01756202190245;-49.4544768676758;UBS NOVO PARAISO;RUA DA PAZ;S/N;NOVO PARAISO;9437860788;68488000.0;PA;Breu Branco;2016;5
2524;2330288;-2.54526811802506;-54.7245660424232;UNIDADE DE SAUDE DA FAMILIA DE CIPOAL;BR 163;S/N;CIPOAL;;68005270.0;PA;Santarém;2016;5
2601;2495422;-11.169061660766301;-61.903216838834894;C S MARIA DE FATIMA DAS CHAGAS BONFIM;RUA OTAVIO RODRIGUES DE MATOS;S/N;CENTRO;(69) 4712363;76916000.0;RO;Presidente Médici;2016;5
2431;2370352;-6.32563437602796;-47.4274129286927;UNIDADE BASICA DE SAUDE ALTO BONITO TOCANTINOPOLIS;RUA DARCI GOMES MARINHO;1927;ALTO BONITO;(63) 3471-7020;77900000.0;TO;Tocantinópolis;2016;5
2506;5711282;-1.29902199728267;-48.160972595214794;P S S TRINDADE;COMUNIDADE TRINDADE;000000000;RURAL;;68790000.0;PA;Santa Izabel do Pará;2016;5
2525;4005554;-1.73160195350642;-48.887121677397296;UNIDADE DE SAUDE DA FAMILIA DO ALGODOAL;RUA BERLINDO PINHEIRO;530;ALGODOAL;(91)37512003;68440000.0;PA;Abaetetuba;2016;5
2709;7058322;-10.9936560635399;-68.7542760372162;ESF ANTONIO MONTEIRO DOS REIS;RUA PREFEITO VALDEMIR LOPES;S/N;JOSE MOREIRA;;69932000.0;AC;Brasiléia;2016;5
3089;6039073;-6.06326222419721;-49.9088716506944;CENTRO DE SAUDE CIDADE NOVA;RUA D;338;CIDADE NOVA;9433461020;68515000.0;PA;Parauapebas;2016;5
3108;2468468;-10.708569917;-48.4121534584309;UNIDADE DE SAUDE ESCOLA BRASIL PORTO NACIONAL;RUA 15 DE NOVEMBRO;S/N;POVOADO ESCOLA BRASI;(63)3632011;77500000.0;TO;Porto Nacional;2016;5
3169;5376629;-2.63121485710136;-60.9480071067792;UBS JOSE PAULINO ADRIANO;RUA ROSA FERNANDES;46;NOVA ESPERANCA;(92)3365-1441;69730000.0;AM;Novo Airão;2016;5
3061;2332124;-2.6892;-54.99845;UNIDADE SAUDE DA FAMILIA ARAMANAI;COMUNIDADE DE ARAMANAI;S/N;RIO TAPAJOS;;68143000.0;PA;Belterra;2016;5
3158;7280998;1.506;-50.912;PM TARTA POSTO DE SAUDE ENTRE RIOS;VILA DO TREVO;S/N;ENTRE RIOS;34221110;68990000.0;AP;Tartarugalzinho;2016;5
3049;2316250;-0.7611241587572171;-48.51631164550779;UNIDADE DE SAUDE DA FAMILIA CONDEIXA;VIL DE CONDEIXAS;S/N;CENTRO;;68860000.0;PA;Salvaterra;2016;5
3065;3037150;-2.57015257967785;-57.8703463558346;UNIDADE BASICA DE SAUDE ALTAIR FERNANDES;RUA SAO SEBASTIAO;S/N;TRINDADE;( );69135000.0;AM;São Sebastião do Uatumã;2016;5
3056;2497514;-11.3046419620511;-61.7821097373944;CSD ESTRELA DE RONDONIA;RUA PARANA ESQUINA COM AVENIDA PE ROMOM;S/N;DISTRITO ESTRELA DE;;76916000.0;RO;Presidente Médici;2016;5
2952;6444261;-4.22007903716998;-55.96435546875;UNIDADE BASICA DE SAUDE CREPURIZINHO;COMUNIDADE DE CREPURIZINHO;S/N;ZONA RURAL;;68181000.0;PA;Itaituba;2016;5
2964;3716368;-9.574777693946789;-48.4042845172882;UNIDADE BASICA DE SAUDE DO SETOR UNIVERSITARIO MIRACEMA;AV SALOMAO TOMAS DE MATOS;S/N;SETOR UNIVERSITARIO;06333661245;77650000.0;TO;Miracema do Tocantins;2016;5
3118;2675897;-0.926724672317478;-46.8560886383043;USF FLEXEIRA;RAMAL DA FLEXEIRA;S/N;FLEXEIRA;;68647000.0;PA;Tracuateua;2016;5
3156;2615878;-1.30612850189205;-48.309996128080904;UNIDADE SAUDE DA FAMILIA DA PICARREIRA;RUA MADRE SILVA;S/N;BENFICA;;68795000.0;PA;Benevides;2016;5
2988;2370360;-6.32563437602796;-47.4274129286927;UNIDADE BASICA DE SAUDE MUCIO BARBOSA TOCANTINOPOLIS;RUA BELA VISTA;S/N;ALTO DA BOA VISTA;(63)34712203;77900000.0;TO;Tocantinópolis;2016;5
3176;2000458;-9.98972654342622;-67.8300189971904;USF MARIA DE FATIMA I;RUA SANTA RITA;S/N;BAHIA NOVA;(68) 3225-1586;69900460.0;AC;Rio Branco;2016;5
2882;3277763;-1.6125118732451902;-47.476193904875295;UNIDADE DE SAUDE DA FAMILIA PERPETUO SOCORRO;RUA FREI MIGUEL;S/N;PERPETUO SOCORRO;99355-2966;68660000.0;PA;São Miguel do Guamá;2016;5
3036;5434556;-3.2982780354675496;-60.6205894458706;UBS JOSE DOS SANTOS VENTURA;RUA MAUES;S/N;UNIAO;92 33611151;69401113.0;AM;Manacapuru;2016;5
3081;3112322;-1.7738692016013402;-49.4898333129883;POSTO DE SAUDE DE TERE;RIO TERE;S/N;ZONA RURAL;(91)36361404;68415000.0;PA;Limoeiro do Ajuru;2016;5
3164;2314118;-1.48205995559688;-47.1798849105821;UNIDADE DE SAUDE DA FAMILIA MIGUEL FERREIRA ROSA;VILA DO PURAQUEQUARINHA;S/N;PURAQUEQUARINHA;;68640000.0;PA;Ourém;2016;5
3138;5624274;-1.192441995;-47.17512612313439;UNIDADE DE SAUDE DA FAMILIA DO INUSSUM;INUSSUN;S/N;INUSSUN;;68701090.0;PA;Capanema;2016;5
2974;2020726;1.7238756000000002;-50.8753779;PMP UNIDADE BASICA DE SAUDE DE PRACUUBA;RUA ELOGIO FERREIRA;72;CENTRO;(96)34241174;68918000.0;AP;Pracuúba;2016;5
3023;2469545;-5.9180566;-48.059667499999996;PRONTO ATENDIMENTO SAO BENTO;RUA DO COMERCIO;S/N;CENTRO;(63)34871130;77958000.0;TO;São Bento do Tocantins;2016;5
2970;2487020;-5.39671287737826;-47.81473173334229;UNIDADE BASICA DE SAUDE DA FAMILIA I;RUA DOM PEDRO II;89;CENTRO;(63) 34881236;77970000.0;TO;Praia Norte;2016;5
3020;6746829;-1.7234242609663;-49.30890222167971;POSTO DE SAUDE DE AJURU;RIO AJURU;S/N;ZONA RURAL;(91)36361404;68415000.0;PA;Limoeiro do Ajuru;2016;5
3086;2496577;-8.76889179;-63.831445654361104;UNIDADE DE SAUDE DA FAMILIA PEDACINHO DE CHAO;AV TIRADENTES;3420;PADACINHO DE CHAO;69 39012921;76820739.0;RO;Porto Velho;2016;5
3133;5381371;-1.8094234196669299;-49.791522847085396;UNIDADE DE SAUDE DA FAMILIA DA MARAMBAIA;TV SANTA ROSA;S/N;MARAMBAIA;;68815000.0;PA;Curralinho;2016;5
2838;2614774;-5.37566184997543;-49.1310524940477;CENTRO DE SAUDE LARANJEIRAS;RUA DOS GAVIOES;23;LARANJEIRAS;(94) 3242077;68501160.0;PA;Marabá;2016;5
2900;2013150;-3.30349445343008;-60.618996620176496;UBS FUNASA II;AVENIDA EDUARDO RIBEIRO;1271;CENTRO;92 33611181;69400248.0;AM;Manacapuru;2016;5
2899;2000016;-7.7303724;-72.6514392;UNIDADE BASICA PADRE TEODORO ARNDS;AV GETULIO VARGAS;S/N;CENTRO;33421006;69985000.0;AC;Rodrigues Alves;2016;5
2877;3809315;-7.26681232452371;-49.62256193160871;ESTRATEGIA DE SAUDE DA FAMILIA DA VILA BETEL;VILA BETEL;10;CENTRO;;68530000.0;PA;Rio Maria;2016;5
2975;7749732;-0.9880339133489829;-49.9398994445801;POSTO DE SAUDE SAO FRANCISCO;RUA ALVARO PAIVA;S/N;SANTA QUITERIA;91-36051123;68810000.0;PA;Anajás;2016;5
2876;7757;-1.09360098838803;-47.8458666801439;USF DE BACABAL;AGROVILA BACABAL;S/N;AGROVILA BACABAL;;68745000.0;PA;Castanhal;2016;5
3185;2328674;-1.3504171371459601;-48.3752703666673;CENTRO DE SAUDE MAGUARI DR CELSO LEAO;RUA CLAUDIO SANDERS;1784;MAGUARI;(91)2553422;67130500.0;PA;Ananindeua;2016;5
3237;7163193;-0.795796555893206;-52.4882125854492;PMLAJ UBS BURITIZAL;RUA PIQUIA;S/N;BURITIZAL;;68920000.0;AP;Laranjal do Jari;2016;5
3482;3401901;-10.8652532100674;-61.9415402412397;CENTRO DE SAUDE DOM BOSCO;RUA MATO GROSSO;3042;DOM BOSCO;(69)3421 0729;76900020.0;RO;Ji-Paraná;2016;5
3489;2016508;-2.18823194503778;-56.7121124267562;POSTO DE SAUDE MUNICIPAL NOSSA SENHORA ASSUNCAO;RUA FURTADO BELEM;S/N;CENTRO;(92)35347585;69140000.0;AM;Nhamundá;2016;5
3232;5462991;-0.73249551;-47.851265085935104;USF MURAJA;LOCALIDADE DE MURAJA;11;ZONA RURAL;0913722 - 1236;68750000.0;PA;Curuçá;2016;5
3418;2015463;-2.98556685447684;-60.0512909889204;UBS LINDALVA DAMASCENO;RUA LINARIA;S/N;TARUMA;(92)36545566;69021625.0;AM;Manaus;2016;5
3525;6806198;-3.59906315803517;-57.9456496238692;POSTO DE SAUDE PONTA ALEGRE;COMUNIDADE PONTA ALEGRE;S/N;ZONA RURAL;;69190000.0;AM;Maués;2016;5
3280;2328941;-8.28097701072669;-49.2783379554734;ESTRATEGIA DE SAUDE DA FAMILIA ARENALDO P DE MIRANDA;RUA 40;S/N;VILA CRUZEIRO;(91) 4212166;68540000.0;PA;Conceição do Araguaia;2016;5
3239;2316056;-0.728264510068784;-48.5123687982559;CENTRO DE SAUDE DE SOURE;TVA TREZE;1038;MATINHA;(91)37411275;68870000.0;PA;Soure;2016;5
3526;5548535;-0.8555325736677629;-48.1414985852069;UNIDADE DE SAUDE DA FAMILIA DE SANTA RITA E NOVO HORIZONTE;RUA JOAO PAULO II;S/N;NOVO HORIZONTE;;68780000.0;PA;Vigia;2016;5
3421;2020688;-0.918977088542798;-52.4196147795718;PMVJ UBS BEIRA RIO;AV AIRTON SENA;303;COMERCIAL;(96)37361168;68924000.0;AP;Vitória do Jari;2016;5
3456;6364217;-3.3499717712401402;-64.7145795822125;CENTRO DE SAUDE DR JOSE LINS;RUA RECIFE;123;SAO FRANCISCO;;69552120.0;AM;Tefé;2016;5
3506;2001039;-10.5697677087927;-67.67350797194321;UNIDADE DE SAUDE DA FAMILIA DR LUIZ FERNANDO MAGALHAES;AV GOV EDMUNDO PINTO;1231;CENTRO;;69931000.0;AC;Capixaba;2016;5
3455;2486946;-8.38432959344296;-48.1111996094691;UNIDADE BASICA DE SAUDE DE ITAPIRATINS;AVENIDA TOCANTINS;S/N;CENTRO;(63)34651166;77718000.0;TO;Itapiratins;2016;5
3443;2496569;-11.6723942756649;-61.1942553520185;UNIDADE BASICA DE SAUDE PASTOR JONAS PIMENTA BUENO;RUA RICARDO FRANCO;S/N;JARDIM DAS OLIVEIRAS;(69)34513453;76970000.0;RO;Pimenta Bueno;2016;5
3301;2560232;-8.80944728851293;-49.555699825285394;UNIDADE DE SAUDE DA FAMILIA ARAGUACEMA;RUA RUI BARBOSA;861;CENTRO;(63) 3472 1379;77690000.0;TO;Araguacema;2016;5
3276;7510640;-8.8079542;-49.557322799999994;UNIDADE DE SAUDE DA FAMILIA JARDIM PLANALTO;RUA PIRANHAS;S/N;JARDIM PLANALTO;;77690000.0;TO;Araguacema;2016;5
3230;5462940;-0.780662298202492;-47.834901809691;USF BOA VISTA DE IRIRITEUA;LOCALIDADE DE BOA VISTA DE IRIRITEUA;11;ZONA RURAL;0913722 - 1236;68750000.0;PA;Curuçá;2016;5
3545;2000903;-9.06606;-68.67119;UNIDADE BASICA DE SAUDE FLORLIRIO PEREIRA LUSTOSA;AV ORLEIR CAMELI;S/N;ANA VIEIRA;(68) 99927 5904;69940000.0;AC;Sena Madureira;2016;5
3561;5583608;-12.510123252868302;-61.615791320799;UNIDADE BASICA DE SAUDE VILA BOSCO;LH P 08 C 115;S/N;DISTRITO;;76952000.0;RO;Alto Alegre dos Parecis;2016;5
3567;2001217;-10.6520719403354;-68.5062948050463;UNIDADE SAUDE DA FAMILIA JOSE FADUL;RUA PETRONIO RODRIGUES;S/N;JIQUIA;;69930000.0;AC;Xapuri;2016;5
3581;2020106;-1.12705349922177;-52.2226524353012;PMVJ UBS JARILANDIA;LOCALIDADE DE JARILANDIA;01;V DE JARILANDIA;(96)6221388;68924000.0;AP;Vitória do Jari;2016;5
3988;2476754;0.9371953935975559;-60.425060493981896;CENTRO DE SAUDE DRA MARIA YANDARA;AV DRA YANDARA;S/N;CENTRO;(95)32381926;69373000.0;RR;Rorainópolis;2016;5
3644;3030644;-1.76570832049692;-55.86001753807071;CENTRO DE SAUDE DR LAURO CORREA PINTO;RUA LAURO SODRE;2506;PERPETUO SOCORRO;93 3544-2136;68270000.0;PA;Oriximiná;2016;5
3974;2318571;-1.5154695510863798;-48.6249089241014;U B S PEDREIRA;TV FRANCISCO DE OLIVEIRA DIAS;S/N;PEDREIRA;91 992301853;68445000.0;PA;Barcarena;2016;5
3666;2317907;-1.46876692771907;-48.019201755522296;UNIDADE SAUDE DA FAMILIA DE PERNAMBUCO;VILA DE PERNAMBUCO;S/N;ZONA RURAL;;68770000.0;PA;Inhangapi;2016;5
